filename,n_samples,state,n_measurements,total_valid_crps,mean_all_models,overall_std,shuffle_run1_mean,shuffle_run1_std,shuffle_run2_mean,shuffle_run2_std,shuffle_run3_mean,shuffle_run3_std,shuffle_run4_mean,shuffle_run4_std,shuffle_run5_mean,shuffle_run5_std,total_valid_crps_set,mean_all_models_set,overall_std_set,total_valid_crps_reset,mean_all_models_reset,overall_std_reset,shuffle_run1_mean_set,shuffle_run1_mean_reset,shuffle_run2_mean_set,shuffle_run2_mean_reset,shuffle_run3_mean_set,shuffle_run3_mean_reset,shuffle_run4_mean_set,shuffle_run4_mean_reset,shuffle_run5_mean_set,shuffle_run5_mean_reset
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n8_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n8_set.csv",8,ALL,439,2195,17.692723036064503,20.11558701200063,18.707462849231106,18.058826574749787,15.593652290406448,20.52651436202131,15.801546316841517,18.498184241144457,23.097755722012373,23.95468831341782,15.263198001831082,17.76473946243512,1185,21.905322312911935,22.236840899806904,1010,12.750217943921728,15.936783180684282,22.45293997609963,14.313016913251692,15.004451377803363,16.284942470044722,18.563888335962286,12.560580680546352,32.291487215987694,12.31105094937797,21.213844658706698,8.2814987063879
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n12_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n12_set.csv",12,ALL,439,2195,11.72307120613055,14.91393578362081,8.231884974593559,10.350573277181446,9.081809898329343,10.485377827043294,14.459496017816152,17.88522013374849,12.65328937637737,15.320368406031173,14.188875763536325,17.51733252551774,1185,15.779105024066252,18.156717830420703,1010,6.964259251423809,7.392903182196972,10.503805783735205,5.5663145203036075,11.969563962263678,5.693702407475694,20.284434000669968,7.625286602289643,16.822528186239534,7.761657703420276,19.315193187422885,8.174335023629824
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n16_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n16_set.csv",16,ALL,439,2195,14.290632314092633,18.939003338571876,14.35527797952208,17.596365964775817,14.932931163700477,20.27408123051853,14.303875518689043,19.34111008680841,14.79044147647359,20.525901131271578,13.070635432077971,16.589530189121124,1185,19.07866458744342,22.9738583768571,1010,8.67299048842859,10.090418045433145,18.25864679736505,9.775582881359782,19.241799942274046,9.87747621062159,19.300362465975123,8.441660634992013,20.77143994023361,7.773131397705652,17.821073791369272,7.4971013174639145
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n20_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n20_set.csv",20,ALL,439,2195,7.021102917439033,8.852223024398048,9.142371052428516,9.610039699219042,5.58786425003444,8.156227954192536,7.859439263406544,8.643099163738945,6.7736481805313895,9.370660399657048,5.742191840794278,7.840044555431619,1185,8.136812872809912,10.147006167230101,1010,5.712076880692014,6.8062891876772476,9.817994687631124,8.34968391607694,6.855751255448502,4.1002938525931905,9.059020777831474,6.452009466779273,8.488539377519354,4.761622370203929,6.462758265619103,4.896774797806737
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n25_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n25_set.csv",25,ALL,439,2195,8.10783589407378,9.9596916545509,7.056915600805272,8.56005348065826,7.832487669831184,8.317194732195373,11.255244709280829,13.7576914993707,8.690491260018453,9.542043697192142,5.704040230433157,7.483195769672428,1185,9.412263405066449,11.368007250019863,1010,6.577393715334855,7.721168474122695,7.876778740612684,6.0949969664767725,8.954016380574032,6.516634677523982,13.922848247463616,8.125432637254493,9.420492447178773,7.834004718647187,6.887181209503138,4.315899576771845
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n32_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n32_set.csv",32,ALL,439,2195,5.808908117122035,7.3144242617788295,5.952227950152604,7.491484672125703,5.6346013800438834,7.280872654828118,5.609224583283975,7.249252150759747,5.880520905967383,7.358715434071001,5.967965766162329,7.17962310702901,1185,6.891994525724287,9.087156950480479,1010,4.53815822188078,4.049221045858123,6.826316228885855,4.926688732034875,6.56321189013234,4.545093009296536,6.646580033010624,4.392129327911622,7.156725026686735,4.383192308885766,7.2671394499058755,4.443687731275098
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n40_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n40_set.csv",40,ALL,439,2195,5.648994884740605,7.352752337737931,5.536710506841724,7.410069093655045,5.6231743917064305,6.991515592309864,5.697097751056669,7.566623266773559,5.817449512435785,7.232475147083345,5.570542261662416,7.5439920396998,1185,6.8447484431170835,9.03039150761151,1010,4.246056303873152,4.26261709479439,6.702316311596035,4.169143300273547,6.630380177422563,4.441452752029581,6.724096976749094,4.492153114971991,7.271185348224973,4.111828754603918,6.895763401592756,4.015703597486722
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n50_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n50_set.csv",50,ALL,439,2195,8.016293870653305,8.993491645672696,11.840559788391335,10.928856296271414,5.72149182706268,7.253347994236312,6.12254354728776,7.768832299006258,8.54557582720231,8.859791101019885,7.85129836332244,8.35033351232335,1185,8.449916604720707,9.78163142958226,1010,7.507538484643534,7.939906859472267,10.346160972081488,13.593889092675662,6.942245272458526,4.289221695583395,6.796777381851925,5.331487018615946,9.917949586550874,6.935414535293351,8.246449810660717,7.387680081049312
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n63_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n63_set.csv",63,ALL,439,2195,6.423918694600239,8.267939215056897,7.285426822838755,8.753809979231457,6.307053940578566,8.274252342533211,6.042963346717548,8.288468587955803,6.070589002526294,8.1004411418671,6.413560360340031,7.833253815839419,1185,7.171182351348502,9.903426567721722,1010,5.5471786616827226,5.66273895484394,7.361813034604574,7.195805376361035,7.071149590500145,5.410565480027008,6.998619721188748,4.921722946966685,7.2128088951234925,4.7304597225979,7.21152051532555,5.477339782460982
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n80_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n80_set.csv",80,ALL,439,2195,6.138775511533128,7.588752012353245,6.019270203601582,7.461478110024002,6.105407017622836,7.380987379476266,6.1660490011307125,7.936077078347051,6.051193001672562,7.483605139486019,6.351958333637947,7.664087260430713,1185,7.273940998115007,9.197623885112517,1010,4.806922935692012,4.755719907747842,7.141984181810517,4.702026575702982,6.759806498519052,5.337621488056483,7.6360811135112225,4.441308354426849,7.217874124989165,4.6823641589694205,7.61395907174508,4.871294101304332
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n100_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n100_set.csv",100,ALL,439,2195,6.149406588368986,7.695430054352725,6.082625886257107,8.626369233523857,5.813416885263175,7.466413942979673,7.039602954453695,7.872898130884331,6.26460520327631,7.78452133674253,5.546782012594641,6.48607064805219,1185,7.126990473464741,9.31280333497154,1010,5.002439356845749,4.950539223883086,7.252390692754429,4.710179058832032,6.9016756989372725,4.536598376150496,7.424407980540096,6.588123790184008,7.3233054540967,5.022466790185059,6.7331725409952075,4.154828768877149
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n125_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n125_set.csv",125,ALL,439,2195,5.416800295778697,7.307013687061141,5.337827649194207,7.414325144638336,5.5582085387435,7.510995536338113,5.487267682195768,7.367944610520165,5.415770885826247,6.999954455660799,5.284926722933761,7.227752993194578,1185,6.41408397801634,8.728615920093088,1010,4.246719935925621,4.9102261031183625,6.317476461445124,4.188437706107738,6.730184686354162,4.183167217041882,6.544657878336691,4.246666313456173,6.268553915673997,4.415228420113786,6.209546948271722,4.20010002290853
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n160_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n160_set.csv",160,ALL,439,2195,5.339321300924944,7.608304733389631,5.217813849370719,7.587622867090302,5.390990967737737,7.775373574697315,5.465017375368328,7.861435300346509,5.323074192747378,7.567483401431602,5.299710119400557,7.231805669140815,1185,6.362857581888056,9.110692819874876,1010,4.13843962474545,5.073895293457849,6.142652224574424,4.13273120123568,6.350719020015662,4.264973401451261,6.71303045228141,4.000764408891097,6.411798797834897,4.04570918578826,6.196087414733889,4.248019926360952
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n200_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n200_set.csv",200,ALL,439,2195,5.33925768067952,7.520674900257457,5.219350913128997,7.508014402604887,5.538955949121321,7.563441092688627,5.542526348510104,7.607523224396717,5.122665777084178,7.386839005800637,5.272789415553004,7.525963590899792,1185,6.1747278789215985,8.739589760545652,1010,4.35902779462322,5.614867044262032,6.145758055086155,4.1324276822188635,6.377650420011426,4.554943129314611,6.480147899790146,4.4424456175528295,5.9301515744748645,4.175269074205006,5.939931445245402,4.490053469824793
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n250_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n250_set.csv",250,ALL,439,2195,5.157214981831249,6.485497951055738,5.143054556327747,6.6343762285970564,5.218779649906216,6.969460984378096,5.1779484425717905,6.495893418474226,4.977048405418826,6.196263449348061,5.269243854931666,6.089362931081623,1185,5.980349546515951,7.608379988328933,1010,4.1914580915823665,4.66542597315538,5.861767161960511,4.299812538827921,6.040809369306691,4.254319038530411,5.968502321250954,4.2504174066957425,5.87516426568099,3.923318410952822,6.155504614380608,4.229423062904938
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n316_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n316_set.csv",316,ALL,439,2195,5.108843565261365,6.8267427795206395,5.063557510231191,6.799012452895447,4.962470191321984,6.220136461959554,5.155231120089678,7.3518641657035095,5.251843533016292,7.013152286601869,5.111115471647681,6.695156704191277,1185,6.105201776286903,8.202094067333048,1010,3.9398490305432827,4.452165518754642,6.222643910993429,3.703639307356686,5.740337351655481,4.049824067564363,6.157039462575117,3.9798421242032953,6.2350180338580055,4.098317014702003,6.170970122352484,3.8676226388900656
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n400_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n400_set.csv",400,ALL,439,2195,5.005040057005159,6.746845082758161,5.132674255870491,6.82156232960292,5.065218968035025,6.694573931387334,4.967272455594226,6.907790601461597,4.93255999574186,6.75629362177016,4.927474609784193,6.5460581633037505,1185,5.756677265628936,7.929311103529033,1010,4.123168678570331,4.870156794547453,5.942234059814574,4.18284418886679,5.953363791736516,4.023187664979315,5.6867943669600045,4.123080906120513,5.631520444516093,4.112492538516645,5.569473665117489,4.174238094368396
"mdn_predictions_final_models_random_dataset_predictions_shuffled_n500_reset.csv, mdn_predictions_final_models_random_dataset_predictions_shuffled_n500_set.csv",500,ALL,439,2195,4.760925679593194,6.405301857862218,4.693326228775406,6.267684514383553,4.714746971810056,6.453721625389278,4.678096453154962,6.260951179837087,4.890883789173372,6.579582085114479,4.827574955052171,6.455986624445704,1185,5.6022745151280615,7.674232166260246,1010,3.773798580475552,4.2733384302421635,5.476813952050658,3.7740856821603814,5.757860518687559,3.4908959291864514,5.44514452715296,3.7781440098998855,5.650272275940465,3.999918089352575,5.681281301808664,3.8259491917784647
