model_name,r_squared_overall,r_squared_overall_std,r_squared_set,r_squared_set_std,r_squared_reset,r_squared_reset_std,n_set_groups,n_reset_groups,n_runs,set_csv,reset_csv,r_squared_run1_overall,r_squared_run1_set,r_squared_run1_reset,r_squared_run2_overall,r_squared_run2_set,r_squared_run2_reset,r_squared_run3_overall,r_squared_run3_set,r_squared_run3_reset,r_squared_run4_overall,r_squared_run4_set,r_squared_run4_reset,r_squared_run5_overall,r_squared_run5_set,r_squared_run5_reset
500_shuffled,0.9475907464935913,0.0012999466783145894,0.8889796603167854,0.0024814414536167813,0.9657485691377756,0.004095730869891457,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n500_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n500_reset.csv,0.9467849910989763,0.8917471475878822,0.9608252501934342,0.9485771377588166,0.8859311144836085,0.9714421324917452,0.9482248199130303,0.8917848647563689,0.9647262981468093,0.9454379445372229,0.8865385384408266,0.9622591621885752,0.9489288391599111,0.8888966363152402,0.9694900026683136
316_shuffled,0.9419895360270354,0.0019186181395428874,0.8742579437717855,0.005421572573987649,0.9648948909157049,0.002037827455165344,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n316_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n316_reset.csv,0.942635898559721,0.8734415955752555,0.9674649592449416,0.9453121955115676,0.884925848529919,0.9634999364374203,0.9397152174544889,0.8709887813729844,0.9618867968468973,0.9407304244226187,0.8706972561325694,0.9649499820736887,0.9415539441867805,0.8712362372481982,0.966672779975577
400_shuffled,0.9430172787718376,0.0024449064560597743,0.8820510894389495,0.004036624927274344,0.9600479424985137,0.003681031127595593,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n400_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n400_reset.csv,0.938768425970055,0.8773698109746946,0.9530268709399042,0.943998570385762,0.8821463589808127,0.962638280228234,0.9423209108484966,0.880099442808806,0.9600610797223201,0.9438743301646387,0.8811745061957157,0.9632534611623504,0.9461241564902358,0.8894653282347188,0.9612600204397602
250_shuffled,0.9413230278626179,0.0012954299105048092,0.8784269749437703,0.0025831190187109274,0.9589752001048575,0.004400999700275677,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n250_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n250_reset.csv,0.9417110348312434,0.8779285764834246,0.960526199802725,0.939901337073388,0.8784018854833271,0.9551113532579314,0.9420638278812056,0.8831717381825963,0.9563389276950036,0.9431468582143119,0.8753967917529861,0.9669412193836948,0.9397920813129403,0.8772358828165171,0.9559583003849327
160_shuffled,0.9354902544653798,0.002903968592508994,0.8641632746101717,0.009902176961921577,0.9570380977891784,0.0029349314933628033,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n160_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n160_reset.csv,0.9368354347293447,0.868317183352992,0.9566354850272816,0.9355559385903813,0.8694632832921229,0.9520096862572676,0.9299066989029344,0.844480720102309,0.9611074868139734,0.9370920512666366,0.8676643614867308,0.9579788600767712,0.938061148837602,0.8708908248167042,0.957458970770598
40_shuffled,0.9315454811486639,0.002530823577580616,0.8535696030466419,0.007865518536805614,0.9566585481706052,0.0029505675274118207,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n40_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n40_reset.csv,0.9328106754072465,0.856131033953577,0.9576020157653499,0.9358116774167529,0.8665736138598477,0.9555487040885621,0.9300878835411966,0.8542744509562139,0.9519792170680151,0.9285594514964038,0.8447985687562494,0.9571102629433996,0.9304577178817199,0.8460703477073219,0.9610525409876998
125_shuffled,0.9363256948430075,0.0014002937510491904,0.8680473383602239,0.004996373749747617,0.9555064468694552,0.0014361832915758502,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n125_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n125_reset.csv,0.9373786882981998,0.8699996329318658,0.9564680881122631,0.9344140497330512,0.8618498219427623,0.9563678636550856,0.9348239984394231,0.8623728199237547,0.9569751991600238,0.937495449269874,0.8722334817159941,0.9545923472159986,0.9375162884744902,0.873780935286742,0.9531287362039046
32_shuffled,0.9327503945513846,0.0018742627343777264,0.8603009105573719,0.003278318897388855,0.9533396012483543,0.00331605150999349,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n32_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n32_reset.csv,0.9303904962213465,0.8584873822969119,0.9486670536527851,0.9331183850435416,0.8636679818243298,0.951037440633514,0.9356720838247397,0.8646328854970049,0.957073959470083,0.9334878456918643,0.8585880200065166,0.9570397976611548,0.9310831619754318,0.8561282831620961,0.9528797548242348
200_shuffled,0.9363142077938293,0.0025455027774982115,0.8705623060542219,0.005783078864475828,0.9530036895449822,0.0031853513351843923,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n200_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n200_reset.csv,0.9382933348035547,0.8714038611369577,0.9575898919287137,0.9322966253296529,0.8618329651834837,0.9505930089920512,0.9343529420721239,0.8667528973453945,0.951382708229277,0.9388113416465909,0.8744891040792927,0.9559749839391445,0.9378167951172247,0.8783327025259811,0.9494778546357252
80_shuffled,0.9248730848485576,0.0035242804834172197,0.846126758358781,0.01508632462399216,0.945722443263832,0.007995661165038491,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n80_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n80_reset.csv,0.9291846796675383,0.852637440314003,0.9511174544716995,0.9270667235639459,0.8655385355393895,0.9326472901702749,0.9186757231449112,0.819782970008692,0.9546586730094757,0.9243683075770487,0.8498513905726931,0.9406817962158154,0.9250699902893434,0.8428234553591276,0.9495070024518942
100_shuffled,0.9229918589370765,0.010666997089512516,0.8480352567402119,0.015336591589790807,0.9387016661633781,0.023536173644211643,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n100_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n100_reset.csv,0.9177118916129031,0.8238650541913766,0.9480112044828988,0.9306581883963873,0.859512334176373,0.948392053699803,0.9073304250397496,0.8505817117141252,0.8933634174485782,0.9210015562896252,0.8389281242600669,0.9422070857530729,0.9382572333467173,0.8672890593591173,0.9615345694325381
63_shuffled,0.9155689102475005,0.006466916050682004,0.8342563066622976,0.004688846269373618,0.9319388957622486,0.016704311884657833,15,15,5,mdn_predictions_final_models_random_dataset_predictions_shuffled_n63_set.csv,mdn_predictions_final_models_random_dataset_predictions_shuffled_n63_reset.csv,0.9029534199946251,0.8322552452542253,0.8994003090907845,0.9161419199696373,0.8319850212771198,0.9357380324258061,0.9203663443002794,0.8401545905869532,0.9392645120175708,0.9187640233519948,0.8277577500181368,0.9470637490472577,0.9196188436209661,0.8391289261750524,0.9382278762298242
