0,0,-1.5e-08,0,0.022561
0.1,0.1000004,9.9123e-07,100885.2,0.038001
0.2,0.2000001,2.10534e-06,94996.58,0.050109
0.3,0.3,3.39153e-06,88455.65,0.062421
0.4,0.40001,6.5811e-06,60781.63,0.074589
0.5,0.500001,9.0461e-06,55272.55,0.088932
0.6,0.600014,1.40885e-05,42588.92,0.101056
0.7,0.699809,3.94221e-05,17751.69,0.113181
0.8,0.800031,3.91338e-05,20443.48,0.125305
0.9,0.899794,5.23872e-05,17175.84,0.137418
1,0.925503,0.000100018,9253.364,0.152086
1.1,0.909487,9.9803e-05,9112.822,0.164179
1.2,0.926363,0.000100114,9253.081,0.176217
1.3,0.930303,9.9933e-05,9309.267,0.188266
1.4,0.880956,0.000100041,8805.95,0.200292
1.5,0.881552,0.000100064,8809.882,0.212338
1.4,0.86621,9.9921e-05,8668.948,0.22439
1.3,0.874124,0.00010007,8735.125,0.236424
1.2,0.886248,9.9952e-05,8866.736,0.248464
1.1,0.880087,0.000100027,8798.494,0.260495
1,0.920917,0.000100073,9202.452,0.27253
0.9,0.887881,9.934e-05,8937.799,0.284574
0.8,0.799997,9.0075e-05,8881.454,0.296609
0.7,0.700039,8.02008e-05,8728.579,0.31188
0.6,0.599976,6.75134e-05,8886.769,0.324021
0.5,0.499989,5.76918e-05,8666.552,0.336139
0.4,0.400007,4.56295e-05,8766.412,0.348256
0.3,0.299998,3.40704e-05,8805.239,0.360369
0.2,0.1999973,2.22551e-05,8986.583,0.373063
0.1,0.1000006,1.09219e-05,9155.971,0.38518
0,1.67e-05,-5.23669e-07,-31.89037,0.023931
0.1,0.0999985,1.1171e-05,8951.616,0.038197
0.2,0.1999996,2.30005e-05,8695.446,0.050319
0.3,0.300004,3.58529e-05,8367.636,0.062742
0.4,0.39999,4.69362e-05,8521.994,0.075015
0.5,0.500029,6.18172e-05,8088.833,0.087137
0.6,0.600034,7.29487e-05,8225.424,0.099244
0.7,0.700029,8.07978e-05,8663.961,0.111358
0.8,0.749809,0.000100066,7493.145,0.135641
0.9,0.758904,0.00010001,7588.281,0.147678
1,0.726845,9.9982e-05,7269.759,0.159691
1.1,0.745647,0.000100001,7456.395,0.171729
1.2,0.73442,9.9946e-05,7348.168,0.183762
1.3,0.745126,0.000100029,7449.1,0.195795
1.4,0.752106,9.9942e-05,7525.425,0.207824
1.5,0.728714,0.000100015,7286.047,0.21985
1.4,0.755864,0.000100021,7557.053,0.231891
1.3,0.738329,9.991e-05,7389.941,0.244016
1.2,0.753489,0.00010006,7530.372,0.256125
1.1,0.769106,9.9933e-05,7696.216,0.268183
1,0.752951,0.000100001,7529.435,0.280239
0.9,0.82707,0.000100004,8270.369,0.29228
0.8,0.792395,9.8302e-05,8060.823,0.304346
0.7,0.699999,8.8385e-05,7919.885,0.31638
0.6,0.599998,7.57727e-05,7918.393,0.331658
0.5,0.500024,6.4497e-05,7752.671,0.343788
0.4,0.399985,5.15423e-05,7760.325,0.355913
0.3,0.300006,3.83726e-05,7818.235,0.368041
0.2,0.2,2.5647e-05,7798.183,0.380653
0.1,0.099999,1.2387e-05,8072.899,0.392752
0,-2e-07,-3.06657e-07,0.6521945,0.023878
0.1,0.0999987,1.21281e-05,8245.207,0.038139
0.2,0.2000016,2.45923e-05,8132.692,0.050253
0.3,0.3,3.7459e-05,8008.756,0.0626
0.4,0.399995,4.98052e-05,8031.19,0.074769
0.5,0.500016,6.20486e-05,8058.457,0.086896
0.6,0.59999,7.40728e-05,8100.004,0.09901
0.7,0.699949,8.77699e-05,7974.818,0.11112
0.8,0.777717,9.9904e-05,7784.643,0.125447
0.9,0.854578,9.984e-05,8559.475,0.137488
1,0.877353,9.9991e-05,8774.32,0.149514
1.1,0.827077,0.000100064,8265.48,0.161552
