CircleNum,LoopNum,IterNum,PulseRole,V_applied,PulseDur_s_col,U_out_immediate,I_immediate,R_immediate,T_immediate,R_before,G_before,R_after_1s,G_after_1s,I_after_1s,U_after_1s,T_after_1s,R_after_5s,G_after_5s,I_after_5s,U_after_5s,T_after_5s,R_after_10s,G_after_10s,I_after_10s,U_after_10s,T_after_10s,time_stamp
1,1,14,fixed_reset,1.5,0.001,1.497723,3.8606e-05,38795.08,0,8594.508,0.0001163533735729,204971.0,4.87873894355787e-06,9.755e-07,0.1999492,0,187008.1,5.34736195918786e-06,1.0692e-06,0.1999491,0,185947.3,5.37786781523582e-06,1.0753e-06,0.1999491,0,2026-06-22 10:42:22
1,1,14,sweep_set,1.4,0.001,0.858009,9.99456e-05,8584.76,0,185947.3,5.37786781523582e-06,7669.321,0.0001303896394478,2.60667e-05,0.1999139,0,7667.586,0.0001304191436522,2.60726e-05,0.1999139,0,7672.098,0.000130342443488,2.60572e-05,0.1999134,0,2026-06-22 10:42:33
1,1,15,sweep_set,1.5,0.001,0.939771,9.99448e-05,9402.9,0,98013.63,1.02026626296771e-05,9182.844,0.0001088987246216,2.1771e-05,0.1999197,0,9101.942,0.0001098666636196,2.19645e-05,0.1999196,0,8999.847,0.0001111130000321,2.22136e-05,0.199919,0,2026-06-22 10:42:54
1,2,1,fixed_set,1.5,0.001,0.890085,9.99576e-05,8904.626,0,8999.847,0.0001111130000321,9828.306,0.0001017469338052,2.03414e-05,0.1999215,0,9824.109,0.0001017904015519,2.03501e-05,0.1999216,0,9825.138,0.0001017797409054,2.0348e-05,0.1999219,0,2026-06-22 10:43:05
1,2,1,sweep_reset,0.1,0.001,0.0999896,1.0879e-05,9191.065,0,9825.138,0.0001017797409054,9835.332,0.0001016742495321,2.03269e-05,0.1999218,0,9817.33,0.0001018606892097,2.03641e-05,0.1999211,0,9825.596,0.0001017749966516,2.0347e-05,0.1999214,0,2026-06-22 10:43:16
1,2,2,fixed_set,1.5,0.001,0.856413,9.99574e-05,8567.78,0,9825.596,0.0001017749966516,9230.845,0.0001083324441045,2.16578e-05,0.1999198,0,9227.394,0.0001083729599061,2.16659e-05,0.1999198,0,9222.617,0.0001084290933907,2.16771e-05,0.1999196,0,2026-06-22 10:43:27
1,2,2,sweep_reset,0.2,0.001,0.1999706,2.3032e-05,8682.294,0,9222.617,0.0001084290933907,9222.542,0.000108429975163,2.16773e-05,0.1999198,0,9219.815,0.0001084620461473,2.16837e-05,0.1999197,0,9227.437,0.0001083724548864,2.16658e-05,0.1999198,0,2026-06-22 10:43:38
1,2,3,fixed_set,1.5,0.001,0.854568,9.99581e-05,8549.262,0,9227.437,0.0001083724548864,9141.016,0.0001093970298268,2.18706e-05,0.1999195,0,9142.646,0.0001093775259372,2.18667e-05,0.1999195,0,9137.465,0.0001094395436808,2.18791e-05,0.1999195,0,2026-06-22 10:43:49
1,2,3,sweep_reset,0.3,0.001,0.299937,3.7113e-05,8081.723,0,9137.465,0.0001094395436808,8902.646,0.0001123261556171,2.24561e-05,0.1999187,0,9093.027,0.0001099743792688,2.1986e-05,0.1999193,0,9084.603,0.0001100763566663,2.20064e-05,0.1999194,0,2026-06-22 10:44:00
1,2,4,fixed_set,1.5,0.001,0.842735,9.99581e-05,8430.883,0,9084.603,0.0001100763566663,8817.643,0.0001134089914958,2.26725e-05,0.199918,0,8830.908,0.0001132386386541,2.26385e-05,0.1999185,0,8807.383,0.0001135411052295,2.26989e-05,0.1999179,0,2026-06-22 10:44:11
